Product Name,Description,Product Type,Unit,Category,Subcategory,Product Images,Tags,Price ($),Compare Price ($),Stock Quantity,Low Stock Alert,SKU/Barcode,Freshness Label,Full Product Details,Ingredients,Usage/Cooking Directions,Certified From,Best Before/Expiry,Halal Certified,Featured Product,Active/Visible,Calories (kcal),Protein (g),Carbohydrates (g),Total Fat (g)
Shan Biryani Masala,Premium biryani spice blend,PACKAGED,piece,Spices,Spice Blends,shan_biryani_masala.jpg,halal fresh certified spice,4.99,5.99,150,10,SKU-0001,Fresh,Premium Pakistani biryani masala blend with authentic spices for perfect rice dishes,Cumin seeds coriander seeds black cardamom bay leaves cloves cinnamon,Add 2-3 tbsp to 2kg rice with ghee and onions for authentic biryani flavor,ISNA Canada HMA,05/09/2027,Yes,No,Yes,15,0.5,3,0.2
Halal Chicken Cuts,Fresh halal chicken breast portions,PACKAGED,piece,Meat,Chicken,halal_chicken_cuts.jpg,halal fresh boneless certified,12.99,14.99,200,15,SKU-0002,Cut this morning,Premium halal certified chicken breast cuts inspected and packaged fresh daily,100% Pure Chicken Breast,Grill or bake at 375°F for 25-30 minutes until internal temperature reaches 165°F,HMA Certified,05/12/2026,Yes,Yes,Yes,165,31,0,7.4
Basmati Rice Premium 20lb,Long grain basmati rice,PACKAGED,piece,Grains,Rice,basmati_rice_20lb.jpg,halal basmati rice certified bulk,18.99,22.99,80,8,SKU-0003,Fresh Stock,Premium quality long grain basmati rice aged for perfect fluffy texture in every dish,100% Pure Basmati Rice,Rinse 2-3 times then cook 1 cup rice with 1.75 cups water for 15-18 minutes,ISNA Canada,05/09/2027,Yes,No,Yes,206,4.3,45,0.3
Halal Lamb Meat Ground,Ground halal lamb meat,PACKAGED,piece,Meat,Lamb,ground_lamb_meat.jpg,halal fresh ground certified,14.99,16.99,120,10,SKU-0004,Fresh Today,Fresh ground lamb meat certified halal perfect for kebabs and koftas,100% Pure Lamb Meat,Brown in pan with onions and spices for 8-10 minutes until cooked through,ISNA HMA,05/11/2026,Yes,No,Yes,250,25,0,18
Olive Oil Extra Virgin 750ml,Pure extra virgin olive oil,PACKAGED,piece,Oils,Cooking Oils,olive_oil_750ml.jpg,halal organic cold-pressed certified,12.49,14.99,95,10,SKU-0005,Fresh Stock,Cold-pressed extra virgin olive oil from premium olives for cooking and salads,100% Extra Virgin Olive Oil,Use for salad dressings dipping or low-heat cooking at 375°F maximum,ISNA Certified,05/09/2028,Yes,No,Yes,120,0,0,14
Desi Ghee Pure 32oz,Pure clarified desi ghee,PACKAGED,piece,Oils,Ghee,desi_ghee_32oz.jpg,halal pure ghee certified traditional,9.99,11.99,110,10,SKU-0006,Fresh Stock,Traditional clarified ghee made from pure grass-fed butter for cooking and flavor,100% Pure Clarified Butter,Use 1-2 tbsp for cooking rice biryani or vegetables at high heat,ISNA Canada,05/09/2027,Yes,Yes,Yes,135,0,0,15.4
Halal Beef Ground 5lb,Ground halal beef meat,PACKAGED,piece,Meat,Beef,ground_beef_5lb.jpg,halal fresh ground certified bulk,22.99,26.99,75,8,SKU-0007,Cut Fresh,Fresh ground beef certified halal perfect for burgers meatballs and curry,100% Pure Beef Meat,Brown in pan with onions for 10-12 minutes until fully cooked,HMA Certified,05/10/2026,Yes,Yes,Yes,215,22,0,14
Baghali Rice 10lb,Persian baghali rice,PACKAGED,piece,Grains,Rice,baghali_rice_10lb.jpg,halal rice certified authentic,8.99,10.99,85,10,SKU-0008,Fresh,Premium Persian baghali rice with dill and kidney beans traditional cooking,95% Rice 5% Dill and Kidney Beans,Rinse and cook 1 cup rice with 2 cups water for 18-20 minutes,ISNA,05/09/2027,Yes,No,Yes,195,4,42,0.4
Tandoori Masala 200g,Tandoori spice blend,PACKAGED,piece,Spices,Spice Blends,tandoori_masala_200g.jpg,halal spice blend certified,5.99,7.49,140,10,SKU-0009,Fresh,Authentic tandoori masala spice blend for chicken and vegetable marinades,Coriander cumin paprika garlic ginger turmeric,Mix 3-4 tbsp with yogurt for marinade let sit 30 minutes before cooking,ISNA Certified,05/09/2027,Yes,No,Yes,25,1,5,0.5
Halal Chicken Mince 2lb,Ground halal chicken meat,PACKAGED,piece,Meat,Chicken,chicken_mince_2lb.jpg,halal fresh ground certified,8.99,10.99,160,12,SKU-0010,Fresh Today,Lean ground chicken meat certified halal for patties and curry dishes,100% Pure Chicken Breast,Cook in pan with spices for 10-12 minutes until fully cooked through,HMA,05/11/2026,Yes,No,Yes,165,31,0,7.5
Ginger Garlic Paste 400g,Fresh ginger-garlic blend,PACKAGED,piece,Sauces,Condiments,ginger_garlic_paste.jpg,halal fresh paste certified,3.99,4.99,200,15,SKU-0011,Fresh,Fresh ginger and garlic paste for authentic Asian cooking and marinades,Fresh Ginger Fresh Garlic,Use 1-2 tbsp in curries marinades or soups for added flavor,ISNA,05/09/2026,Yes,No,Yes,30,1,7,0.2
Halal Lamb Mince 3lb,Ground lamb meat halal,PACKAGED,piece,Meat,Lamb,lamb_mince_3lb.jpg,halal fresh ground certified,18.99,21.99,90,8,SKU-0012,Fresh Today,Premium ground lamb meat certified halal for Mediterranean and Middle Eastern dishes,100% Pure Lamb,Brown with onions and spices for 10-12 minutes,ISNA HMA,05/11/2026,Yes,No,Yes,280,24,0,20
Cumin Seeds 100g,Pure cumin seeds,PACKAGED,piece,Spices,Seeds,cumin_seeds_100g.jpg,halal organic seeds certified,2.49,3.49,250,20,SKU-0013,Fresh Stock,Pure organic cumin seeds for flavoring curries and rice dishes,100% Pure Cumin Seeds,Toast in pan for 1-2 minutes then grind or use whole in cooking,ISNA Certified,05/09/2027,Yes,No,Yes,375,17,35,15
Coriander Leaves Fresh 100g,Fresh coriander cilantro,PACKAGED,piece,Vegetables,Fresh Herbs,coriander_leaves_100g.jpg,halal fresh herbs certified,1.99,2.99,300,25,SKU-0014,Cut this morning,Fresh green coriander leaves for garnishing and flavoring Asian dishes,100% Fresh Coriander Leaves,Use fresh as garnish or add at end of cooking for aromatic flavor,Local,05/11/2026,Yes,No,Yes,23,2,4,0.5
Yogurt Plain 32oz,Plain thick yogurt,PACKAGED,piece,Dairy,Yogurt,yogurt_plain_32oz.jpg,halal fresh yogurt certified,4.49,5.49,180,15,SKU-0015,Fresh,Thick creamy plain yogurt perfect for marinades dips and accompaniments,Pasteurized Milk Cultures,Use cold or heat gently for cooking use in marinades at room temperature,ISNA,05/12/2026,Yes,No,Yes,100,3.5,3.5,5.3
Halal Beef Cuts 5lb,Premium beef cuts halal,PACKAGED,piece,Meat,Beef,beef_cuts_5lb.jpg,halal fresh boneless certified,28.99,32.99,60,6,SKU-0016,Fresh Today,Premium quality halal beef cuts perfect for grilling and stewing,100% Pure Beef,Grill at medium-high heat for 4-6 minutes per side for medium doneness,HMA Certified,05/10/2026,Yes,Yes,Yes,250,25,0,15.5
Turmeric Powder 200g,Pure turmeric powder,PACKAGED,piece,Spices,Powders,turmeric_powder_200g.jpg,halal organic powder certified,3.99,5.49,220,15,SKU-0017,Fresh,Pure golden turmeric powder with natural anti-inflammatory properties,100% Pure Turmeric Root Powder,Use 1/2 to 1 tsp in curries rice and warm milk,ISNA,05/09/2027,Yes,No,Yes,312,9.7,64,4
Chili Powder Red 150g,Hot red chili powder,PACKAGED,piece,Spices,Powders,chili_powder_red_150g.jpg,halal spicy hot certified,2.99,3.99,180,12,SKU-0018,Fresh Stock,Pure hot red chili powder for adding heat and color to dishes,100% Pure Red Chili Peppers,Use 1/4 to 1 tsp depending on heat preference in any savory dish,ISNA Certified,05/09/2027,Yes,No,Yes,318,12,61,3.3
Fennel Seeds 100g,Pure fennel seeds,PACKAGED,piece,Spices,Seeds,fennel_seeds_100g.jpg,halal organic certified,2.49,3.49,200,15,SKU-0019,Fresh,Pure fennel seeds with sweet licorice flavor for curries and beverages,100% Pure Fennel Seeds,Chew raw as mouth freshener or toast and grind for cooking,ISNA,05/09/2027,Yes,No,Yes,345,15.8,52.3,14.9
Halal Sausage Links 1lb,Halal certified sausage,PACKAGED,piece,Meat,Processed Meat,sausage_links_1lb.jpg,halal fresh sausage certified,7.99,9.99,140,10,SKU-0020,Fresh Today,Premium halal certified sausage links made with lean meat and spices,Halal Beef Spices Salt,Grill or pan fry for 12-15 minutes until browned and cooked through,ISNA HMA,05/12/2026,Yes,No,Yes,290,12,2,26
Pomegranate Molasses 400ml,Sour pomegranate concentrate,PACKAGED,piece,Sauces,Condiments,pomegranate_molasses_400ml.jpg,halal sour concentrated certified,6.99,8.49,100,8,SKU-0021,Fresh,Concentrated pomegranate molasses for Middle Eastern cooking and dressings,100% Pomegranate Concentrate,Use 1-2 tbsp diluted in water for dressings or 1 tbsp neat in sauces,ISNA,05/09/2027,Yes,No,Yes,65,1,16,0.2
Sesame Seeds White 150g,Pure white sesame seeds,PACKAGED,piece,Spices,Seeds,sesame_seeds_white_150g.jpg,halal organic seeds certified,3.49,4.99,170,12,SKU-0022,Fresh Stock,Pure white sesame seeds for garnishing and flavoring,100% White Sesame Seeds,Sprinkle as garnish or toast lightly for nuttier flavor,ISNA Certified,05/09/2027,Yes,No,Yes,563,17,23,50
Halal Kebab Mix 500g,Spiced meat kebab mix,PACKAGED,piece,Meat,Processed Meat,kebab_mix_500g.jpg,halal spiced mix certified,8.99,10.99,110,8,SKU-0023,Fresh,Pre-spiced halal meat kebab mix ready for cooking,Halal Lamb Beef Spices,Shape into kebabs and grill 8-10 minutes until cooked through,HMA,05/12/2026,Yes,Yes,Yes,220,24,5,11
Lentils Red 2lb,Red lentils dried,PACKAGED,piece,Grains,Legumes,lentils_red_2lb.jpg,halal dried legumes certified,4.99,6.49,150,12,SKU-0024,Dried,Premium quality red lentils perfect for dal and lentil soups,100% Red Lentils,Rinse and cook 1 cup lentils with 2.5 cups water for 20-25 minutes,ISNA,05/09/2027,Yes,No,Yes,353,25,60,1.5
Sumac Powder 100g,Tangy sumac spice,PACKAGED,piece,Spices,Powders,sumac_powder_100g.jpg,halal organic sumac certified,4.99,6.49,130,10,SKU-0025,Fresh,Pure sumac powder with tart lemony flavor for Middle Eastern cuisine,100% Sumac Berries,Sprinkle on salads hummus and grilled meats for tangy flavor,ISNA,05/09/2027,Yes,No,Yes,150,3,34,1.5
